Age,Attrition,Department,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany,AttritionBinary,,,,,,,,
41,Yes,Sales,4,5993,1,6,1,,,,,,,,
49,No,Research & Development,2,5130,3,10,0,,,,,,,,
37,Yes,Research & Development,3,2090,3,0,1,,,,,,,,
33,No,Research & Development,3,2909,3,8,0,,,,,,,,
27,No,Research & Development,2,3468,3,2,0,,,Calculate Mean Work‑Life Balance:,,,,,
32,No,Research & Development,4,3068,2,7,0,,,,,,,,
59,No,Research & Development,1,2670,2,1,0,,,Group,Excel Formula,,,,
30,No,Research & Development,3,2693,3,1,0,,,Leavers (Attrition = Yes),,,2.658227848,2.66,
38,No,Research & Development,3,9526,3,9,0,,,,,,,,
36,No,Research & Development,3,5237,2,7,0,,,Stayers (Attrition = No),,,2.781021898,2.78,
35,No,Research & Development,2,2426,3,5,0,,,,,,,,
29,No,Research & Development,3,4193,3,9,0,,,,,,,,
31,No,Research & Development,3,2911,2,5,0,,,Calculate Mean Job Satisfaction:,,,,,
34,No,Research & Development,4,2661,3,2,0,,,,,,,,
28,Yes,Research & Development,3,2028,3,4,1,,,Leavers (Attrition = Yes),,,2.46835443,2.47,
29,No,Research & Development,1,9980,3,10,0,,,,,,,,
32,No,Research & Development,2,3298,2,6,0,,,Stayers (Attrition = No),,,2.778588808,2.78,
22,No,Research & Development,4,2935,2,1,0,,,,,,,,
53,No,Sales,4,15427,3,25,0,,,,,,,,
38,No,Research & Development,4,3944,3,3,0,,,,,,,,
24,No,Research & Development,3,4011,2,4,0,,,,,,,,
36,Yes,Sales,1,3407,3,5,1,,,,,,,,
34,No,Research & Development,2,11994,3,12,0,,,,,,,,
21,No,Research & Development,4,1232,3,0,0,,,,,,,,
34,Yes,Research & Development,1,2960,3,4,1,,,,,,,,
53,No,Research & Development,3,19094,2,14,0,,,,,,,,
32,Yes,Research & Development,1,3919,3,10,1,,,,,,,,
42,No,Sales,2,6825,3,9,0,,,,,,,,
44,No,Research & Development,4,10248,3,22,0,,,,,,,,
46,No,Sales,1,18947,2,2,0,,,,,,,,
33,No,Research & Development,4,2496,3,1,0,,,,,,,,
44,No,Research & Development,4,6465,4,4,0,,,,,,,,
30,No,Research & Development,3,2206,3,10,0,,,,,,,,
39,Yes,Sales,4,2086,4,1,1,,,,,,,,
24,Yes,Research & Development,4,2293,2,2,1,,,,,,,,
43,No,Research & Development,3,2645,2,5,0,,,,,,,,
50,Yes,Sales,3,2683,3,3,1,,,,,,,,
35,No,Sales,4,2014,3,2,0,,,,,,,,
36,No,Research & Development,1,3419,4,1,0,,,,,,,,
33,No,Sales,1,5376,3,5,0,,,,,,,,
35,No,Research & Development,4,1951,3,1,0,,,,,,,,
27,No,Research & Development,1,2341,3,1,0,,,,,,,,
26,Yes,Research & Development,3,2293,2,1,1,,,,,,,,
27,No,Sales,3,8726,3,9,0,,,,,,,,
30,No,Research & Development,4,4011,3,12,0,,,,,,,,
41,Yes,Research & Development,3,19545,3,22,1,,,,,,,,
34,No,Sales,3,4568,3,9,0,,,,,,,,
37,No,Research & Development,2,3022,3,1,0,,,,,,,,
46,No,Sales,4,5772,3,9,0,,,,,,,,
35,No,Research & Development,4,2269,3,1,0,,,,,,,,
48,Yes,Research & Development,3,5381,3,1,1,,,,,,,,
28,Yes,Research & Development,3,3441,2,2,1,,,,,,,,
44,No,Sales,1,5454,2,4,0,,,,,,,,
35,No,Research & Development,1,9884,3,4,0,,,,,,,,
26,No,Sales,4,4157,2,2,0,,,,,,,,
33,No,Research & Development,4,13458,3,15,0,,,,,,,,
35,No,Sales,1,9069,2,9,0,,,,,,,,
35,No,Research & Development,1,4014,3,2,0,,,,,,,,
31,No,Research & Development,4,5915,2,7,0,,,,,,,,
37,No,Research & Development,3,5993,4,7,0,,,,,,,,
32,No,Research & Development,4,6162,3,9,0,,,,,,,,
